SMILES	MW	TPSA	AROM	HBA	HBD	ROTB	LOGP	RING
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O	1393.6819999999998	541.9799999999999	2	18	15	42	-4.477529999999998	4
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2	215.70799999999997	9.72		3		2	0.24750000000000005	4
C(C(N1CCCCC1)c1ccccc1)c1ccccc1	265.40000000000003	3.24	2	1		4	4.456300000000004	3
CC(C)NCC(O)COc1cc(C)ccc1Cl	257.76099999999997	41.489999999999995	1	3	2	6	2.38612	1
CN1CCN(CC1)C(C)=O	142.202	23.55		2			-0.2197	1
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1	328.16900000000004	57.78	3	2	2		3.487000000000001	4
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	163.173	92.95		5	5	1	-2.9667999999999988	1
CCn1c2ccccc2[nH]c1=O	162.19199999999995	37.79	2	2	1	1	1.3494999999999997	2
CCn1c2ccccc2[nH]c1=O	162.19199999999995	37.79	2	2	1	1	1.3494999999999997	2
CCN1CCCC1=O	113.16	20.310000000000002		1		1	0.6287	1
CCCCCCCCCCCCCCCC=O	240.43099999999993	17.07		1		14	5.666600000000005	
CCCCCCCCCCCCCCCCO	242.44699999999992	20.23		1	1	14	5.460000000000006	
CCCCCCCCCCCCCCCCO	242.44699999999992	20.23		1	1	14	5.460000000000006	
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12	317.3960000000001	69.62	4	5	1	1	3.9837000000000025	4
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12	317.3960000000001	69.62	4	5	1	1	3.9837000000000025	4
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO	410.7710000000003	20.23		1	1	26	10.141199999999994	
CCCCCCCCO	130.23100000000002	20.23		1	1	6	2.3392000000000013	
CCCCCCCCO	130.23100000000002	20.23		1	1	6	2.3392000000000013	
NC(=N)NC(=N)Nc1ccccc1	177.211	97.78	1	2	5	1	0.5163399999999999	1
CCNCCCNCCCCNCCCNCC	258.45399999999995	48.12		4	4	15	0.9450000000000014	
BrC1C(Br)C(Br)C(Br)C(Br)C1Br	557.538						4.581000000000001	1
CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1	312.37299999999993	72.68	3	5	1	5	2.3733000000000004	3
OCCCCO	90.122	40.46		2	2	3	-0.24880000000000008	
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	516.4550000000002	211.27999999999997	2	11	7	7	1.0295999999999996	3
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C	544.5970000000002	159.82	1	10	4	3	1.0817999999999988	5
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C	544.5970000000002	159.82	1	10	4	3	1.0817999999999988	5
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C	544.5970000000002	159.82	1	10	4	3	1.0817999999999988	5
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12	344.886	15.71	2	3		7	5.705800000000005	3
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12	344.886	15.71	2	3		7	5.705800000000005	3
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O	364.35700000000014	101.65	3	7	2	1	1.7851999999999992	5
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O	364.35700000000014	101.65	3	7	2	1	1.7851999999999992	5
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O	249.35999999999999	29.1	1	3	1	2	2.737800000000001	2
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O	249.35999999999999	29.1	1	3	1	2	2.737800000000001	2
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O	249.35999999999999	29.1	1	3	1	2	2.737800000000001	2
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O	616.8360000000001	130.36		8	3	15	5.7529000000000075	4
CC(=N)NCc1cccc(CN)c1	177.25099999999998	61.900000000000006	1	2	3	3	1.23207	1
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	380.5250000000002	94.83000000000001		4	3	12	3.8872000000000027	1
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	302.4580000000001	37.3		2	1		4.269300000000004	4
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	302.4580000000001	37.3		2	1		4.269300000000004	4
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O	428.6130000000003	60.440000000000005		4		6	5.969600000000007	4
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1	350.546	20.23	1	1	1	1	6.083500000000007	5
CCCCCCCCCCCC([N+][O-])c1cc(C)ccc1O	305.462	57.39	1	2	1	12	5.7648200000000065	1
C[C@@H](N)[C@@H](O)c1ccccc1	151.20899999999997	46.25	1	2	2	2	1.0672000000000001	1
OC(=O)CCC(CCCS)C(O)=O	206.263	74.6		3	3	7	1.262	
ClC=C1Nc2sc3CCCCc3c2C(=O)N1	254.74199999999993	41.13	1	3	2		2.8199000000000005	3
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1	353.4470000000002	37.83	3	6		3	3.3472000000000017	5
Nc1ccccc1S(N)(=O)=O	172.20899999999997	86.18	1	3	2	1	-0.08379999999999999	1
NCCOB(c1ccccc1)c1ccccc1	225.1	35.25	2	2	1	5	0.7675999999999994	2
C1CN=C(N1)c1cc2ccccc2o1	186.21399999999997	37.53	2	3	1	1	1.7826	3
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12	369.8090000000001	125.55	2	9	4	4	0.4456999999999993	4
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12	369.8090000000001	125.55	2	9	4	4	0.4456999999999993	4
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	301.69	139.54000000000002	2	9	4	2	-1.3266000000000007	3
Clc1cnccn1	114.53499999999998	25.78	1	2			1.13	1
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12	326.82700000000006	15.71	2	3		1	4.191200000000004	4
N#Cc1ncccn1	105.09999999999998	49.57	1	3			0.3482799999999999	1
CN([N+][O-])C(=O)NC(C=O)C(O)C(O)C(O)CO	265.222	167.48999999999998		7	5	7	-3.712499999999999	
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O	164.157	90.15		5	4	1	-2.1922	1
CCOc1ccccc1C(O)=O	166.17599999999996	46.53	1	2	1	3	1.7834999999999999	1
CCCC(O)C(CC)CO	146.23	40.46		2	2	5	1.1659	
CCCC(O)C(CC)CO	146.23	40.46		2	2	5	1.1659	
OCC1OC(O)C(F)C(O)C1O	182.14700000000002	90.15		5	4	1	-2.2441999999999998	1
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O	612.5370000000004	289.0399999999999	1	16	10	7	-5.656299999999989	4
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O	612.5370000000004	289.0399999999999	1	16	10	7	-5.656299999999989	4
OCCOC(=O)c1ccccc1O	182.17499999999998	66.76	1	4	2	3	0.5412999999999999	1
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O	292.213	92.47	1	4	2	3	2.3230000000000004	1
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O	292.213	92.47	1	4	2	3	2.3230000000000004	1
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1	265.718	100.62	1	4	3	4	0.3741000000000005	1
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12	243.33200000000005	85.21000000000001		3	4	5	0.6115700000000002	2
OC(=O)CNC(=O)c1ccccc1I	305.071	66.4	1	2	2	3	1.1055999999999995	1
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1	358.17900000000014	54.12	2	2	2	4	2.4597000000000007	2
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O	302.414	49.69	1	3	2	1	3.617800000000003	4
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O	302.414	49.69	1	3	2	1	3.617800000000003	4
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O	302.414	49.69	1	3	2	1	3.617800000000003	4
Cc1[nH]c2ccc(O)cc2c1CCN	190.24599999999992	62.03999999999999	2	2	3	2	1.68312	2
Cc1[nH]c2ccc(O)cc2c1CCN	190.24599999999992	62.03999999999999	2	2	3	2	1.68312	2
Cc1ccc(cc1O)[N+]([O-])=O	153.137	63.37	1	3	1	1	1.6088200000000001	1
